id,name,measurement_type,corresponding_sensor,initial_wavelength,gauge_factor,thermo_optic_coefficient,location
H2,NS02_Str_bot02,str,N2,,,,
H3,NS02_Str_bot03,str,N3,,,,
H4,NS02_Str_bot04,str,N4,,,,
H5,NS02_Str_bot05,str,N5,,,,
H6,NS02_Str_bot06,str,N6,,,,
H7,NS02_Str_bot07,str,N7,,,,
H8,NS02_Str_bot08,str,N8,,,,
H9,NS02_Str_bot09,str,N9,,,,
H10,,,,,,,
H11,,,,,,,
H12,NS02_Str_top09,str,N12,,,,
H13,NS02_Str_top08,str,N13,,,,
H14,NS02_Str_top07,str,N14,,,,
H15,NS02_Str_top06,str,N15,,,,
H16,NS02_Str_top05,str,N16,,,,
H17,NS02_Str_top04,str,N17,,,,
H18,NS02_Str_top03,str,N18,,,,
H19,NS02_Str_top02,str,N19,,,,
H20,NS02_Str_top01,str,N20,,,,
I1,NS03_Str_bot01,str,O1,,,,
I2,NS03_Str_bot02,str,O2,,,,
I3,NS03_Str_bot03,str,O3,,,,
I4,NS03_Str_bot04,str,O4,,,,
I5,NS03_Str_bot05,str,O5,,,,
I6,NS03_Str_bot06,str,O6,,,,
I7,NS03_Str_bot07,str,O7,,,,
I8,NS03_Str_bot08,str,O8,,,,
I9,NS03_Str_bot09,str,O9,,,,
I10,,,,,,,
I11,,,,,,,
I12,NS03_Str_top09,str,O12,,,,
I13,NS03_Str_top08,str,O13,,,,
I14,NS03_Str_top06,str,O15,,,,
I15,NS03_Str_top05,str,O16,,,,
I16,NS03_Str_top04,str,O17,,,,
I17,NS03_Str_top03,str,O18,,,,
I18,NS03_Str_top02,str,O19,,,,
I19,NS03_Str_top01,str,O20,,,,
J1,NS04_Str_bot01,str,O1,,,,
J2,NS04_Str_bot02,str,O2,,,,
J3,NS04_Str_bot03,str,O3,,,,
J4,NS04_Str_bot04,str,O4,,,,
J5,NS04_Str_bot05,str,O5,,,,
J6,NS04_Str_bot06,str,O6,,,,
J7,NS04_Str_bot07,str,O7,,,,
J8,NS04_Str_bot08,str,O8,,,,
J9,NS04_Str_bot09,str,O9,,,,
J10,,,,,,,
J11,,,,,,,
J12,NS04_Str_top09,str,O12,,,,
J13,NS04_Str_top08,str,O13,,,,
J14,NS04_Str_top07,str,O14,,,,
J15,NS04_Str_top06,str,O15,,,,
J16,NS04_Str_top05,str,O16,,,,
J17,NS04_Str_top04,str,O17,,,,
J18,NS04_Str_top03,str,O18,,,,
J19,NS04_Str_top02,str,O19,,,,
J20,NS04_Str_top01,str,O20,,,,
K1,NS05_Str_bot01,str,O1,,,,
K2,NS05_Str_bot02,str,O2,,,,
K3,NS05_Str_bot03,str,O3,,,,
K4,NS05_Str_bot04,str,O4,,,,
K5,NS05_Str_bot05,str,O5,,,,
K6,NS05_Str_bot06,str,O6,,,,
K7,NS05_Str_bot07,str,O7,,,,
K8,NS05_Str_bot08,str,O8,,,,
K9,NS05_Str_bot09,str,O9,,,,
K10,,,,,,,
K11,,,,,,,
K12,NS05_Str_top09,str,O12,,,,
K13,NS05_Str_top08,str,O13,,,,
K14,NS05_Str_top07,str,O14,,,,
K15,NS05_Str_top06,str,O15,,,,
K16,NS05_Str_top05,str,O16,,,,
K17,NS05_Str_top04,str,O17,,,,
K18,NS05_Str_top03,str,O18,,,,
K19,NS05_Str_top02,str,O19,,,,
K20,NS05_Str_top01,str,O20,,,,
L1,NS06_Str_bot01,str,P1,,,,
L2,NS06_Str_bot02,str,P2,,,,
L3,NS06_Str_bot03,str,P3,,,,
L4,NS06_Str_bot04,str,P4,,,,
L5,NS06_Str_bot05,str,P5,,,,
L6,NS06_Str_bot06,str,P6,,,,
L7,NS06_Str_bot07,str,P7,,,,
L8,NS06_Str_bot08,str,P8,,,,
L9,NS06_Str_bot09,str,P9,,,,
L10,,,,,,,
L11,,,,,,,
L12,NS06_Str_top09,str,P12,,,,
L13,NS06_Str_top08,str,P13,,,,
L14,NS06_Str_top07,str,P14,,,,
L15,NS06_Str_top06,str,P15,,,,
L16,NS06_Str_top05,str,P16,,,,
L17,NS06_Str_top04,str,P17,,,,
L18,NS06_Str_top03,str,P18,,,,
L19,NS06_Str_top02,str,P19,,,,
L20,NS06_Str_top01,str,P20,,,,
M1,NS07_Str_bot01,str,P1,,,,
M2,NS07_Str_bot02,str,P2,,,,
